StateAbbreviation,ResponsibleDistrictIdentifier,ResponsibleInstitutionIdentifier,LastOrSurname,FirstName,MiddleName,Birthdate,SSID,ExternalSSID,GradeLevelWhenAssessed,Sex,HispanicOrLatinoEthnicity,AmericanIndianOrAlaskaNative,Asian,BlackOrAfricanAmerican,White,NativeHawaiianOrOtherPacificIslander,DemographicRaceTwoOrMoreRaces,IDEAIndicator,LEPStatus,Section504Status,EconomicDisadvantageStatus,LanguageCode,EnglishLanguageProficiencyLevel,MigrantStatus,FirstEntryDateIntoUSSchool,LimitedEnglishProficiencyEntryDate,LEPExitDate,TitleIIILanguageInstructionProgramType,PrimaryDisabilityType,Delete
OR,TEST,TEST,LastName3098,Name3098,MiddleName3098,,LTSTUDENT3098,LTSTUDENT3098,03,Male,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3099,Name3099,MiddleName3099,,LTSTUDENT3099,LTSTUDENT3099,03,Female,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3100,Name3100,MiddleName3100,,LTSTUDENT3100,LTSTUDENT3100,03,Male,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3101,Name3101,MiddleName3101,,LTSTUDENT3101,LTSTUDENT3101,03,Female,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3102,Name3102,MiddleName3102,,LTSTUDENT3102,LTSTUDENT3102,03,Female,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3103,Name3103,MiddleName3103,,LTSTUDENT3103,LTSTUDENT3103,03,Female,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3104,Name3104,MiddleName3104,,LTSTUDENT3104,LTSTUDENT3104,03,Male,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3105,Name3105,MiddleName3105,,LTSTUDENT3105,LTSTUDENT3105,03,Male,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3106,Name3106,MiddleName3106,,LTSTUDENT3106,LTSTUDENT3106,03,Female,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3107,Name3107,MiddleName3107,,LTSTUDENT3107,LTSTUDENT3107,03,Female,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3108,Name3108,MiddleName3108,,LTSTUDENT3108,LTSTUDENT3108,03,Female,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3109,Name3109,MiddleName3109,,LTSTUDENT3109,LTSTUDENT3109,03,Male,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3110,Name3110,MiddleName3110,,LTSTUDENT3110,LTSTUDENT3110,03,Male,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3111,Name3111,MiddleName3111,,LTSTUDENT3111,LTSTUDENT3111,03,Female,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3112,Name3112,MiddleName3112,,LTSTUDENT3112,LTSTUDENT3112,03,Female,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3113,Name3113,MiddleName3113,,LTSTUDENT3113,LTSTUDENT3113,03,Female,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3114,Name3114,MiddleName3114,,LTSTUDENT3114,LTSTUDENT3114,03,Male,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3115,Name3115,MiddleName3115,,LTSTUDENT3115,LTSTUDENT3115,03,Male,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3116,Name3116,MiddleName3116,,LTSTUDENT3116,LTSTUDENT3116,03,Female,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3117,Name3117,MiddleName3117,,LTSTUDENT3117,LTSTUDENT3117,03,Female,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3118,Name3118,MiddleName3118,,LTSTUDENT3118,LTSTUDENT3118,03,Male,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3119,Name3119,MiddleName3119,,LTSTUDENT3119,LTSTUDENT3119,03,Female,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3120,Name3120,MiddleName3120,,LTSTUDENT3120,LTSTUDENT3120,03,Male,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3121,Name3121,MiddleName3121,,LTSTUDENT3121,LTSTUDENT3121,03,Female,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3122,Name3122,MiddleName3122,,LTSTUDENT3122,LTSTUDENT3122,03,Male,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3123,Name3123,MiddleName3123,,LTSTUDENT3123,LTSTUDENT3123,03,Female,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3124,Name3124,MiddleName3124,,LTSTUDENT3124,LTSTUDENT3124,03,Female,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3125,Name3125,MiddleName3125,,LTSTUDENT3125,LTSTUDENT3125,03,Male,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3126,Name3126,MiddleName3126,,LTSTUDENT3126,LTSTUDENT3126,03,Female,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3127,Name3127,MiddleName3127,,LTSTUDENT3127,LTSTUDENT3127,03,Male,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3128,Name3128,MiddleName3128,,LTSTUDENT3128,LTSTUDENT3128,03,Female,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3129,Name3129,MiddleName3129,,LTSTUDENT3129,LTSTUDENT3129,03,Female,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3130,Name3130,MiddleName3130,,LTSTUDENT3130,LTSTUDENT3130,03,Male,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3131,Name3131,MiddleName3131,,LTSTUDENT3131,LTSTUDENT3131,03,Male,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3132,Name3132,MiddleName3132,,LTSTUDENT3132,LTSTUDENT3132,03,Female,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3133,Name3133,MiddleName3133,,LTSTUDENT3133,LTSTUDENT3133,03,Male,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3134,Name3134,MiddleName3134,,LTSTUDENT3134,LTSTUDENT3134,03,Female,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3135,Name3135,MiddleName3135,,LTSTUDENT3135,LTSTUDENT3135,03,Female,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3136,Name3136,MiddleName3136,,LTSTUDENT3136,LTSTUDENT3136,03,Female,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3137,Name3137,MiddleName3137,,LTSTUDENT3137,LTSTUDENT3137,03,Female,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3138,Name3138,MiddleName3138,,LTSTUDENT3138,LTSTUDENT3138,03,Female,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3139,Name3139,MiddleName3139,,LTSTUDENT3139,LTSTUDENT3139,03,Female,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3140,Name3140,MiddleName3140,,LTSTUDENT3140,LTSTUDENT3140,03,Female,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3141,Name3141,MiddleName3141,,LTSTUDENT3141,LTSTUDENT3141,03,Male,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3142,Name3142,MiddleName3142,,LTSTUDENT3142,LTSTUDENT3142,03,Female,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3143,Name3143,MiddleName3143,,LTSTUDENT3143,LTSTUDENT3143,03,Female,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3144,Name3144,MiddleName3144,,LTSTUDENT3144,LTSTUDENT3144,03,Male,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3145,Name3145,MiddleName3145,,LTSTUDENT3145,LTSTUDENT3145,03,Female,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3146,Name3146,MiddleName3146,,LTSTUDENT3146,LTSTUDENT3146,03,Female,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3147,Name3147,MiddleName3147,,LTSTUDENT3147,LTSTUDENT3147,03,Female,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3148,Name3148,MiddleName3148,,LTSTUDENT3148,LTSTUDENT3148,03,Male,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3149,Name3149,MiddleName3149,,LTSTUDENT3149,LTSTUDENT3149,03,Male,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3150,Name3150,MiddleName3150,,LTSTUDENT3150,LTSTUDENT3150,03,Male,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3151,Name3151,MiddleName3151,,LTSTUDENT3151,LTSTUDENT3151,03,Female,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3152,Name3152,MiddleName3152,,LTSTUDENT3152,LTSTUDENT3152,03,Male,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3153,Name3153,MiddleName3153,,LTSTUDENT3153,LTSTUDENT3153,03,Female,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3154,Name3154,MiddleName3154,,LTSTUDENT3154,LTSTUDENT3154,03,Male,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3155,Name3155,MiddleName3155,,LTSTUDENT3155,LTSTUDENT3155,03,Female,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3156,Name3156,MiddleName3156,,LTSTUDENT3156,LTSTUDENT3156,03,Male,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3157,Name3157,MiddleName3157,,LTSTUDENT3157,LTSTUDENT3157,03,Male,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3158,Name3158,MiddleName3158,,LTSTUDENT3158,LTSTUDENT3158,03,Female,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3159,Name3159,MiddleName3159,,LTSTUDENT3159,LTSTUDENT3159,03,Male,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3160,Name3160,MiddleName3160,,LTSTUDENT3160,LTSTUDENT3160,03,Female,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3161,Name3161,MiddleName3161,,LTSTUDENT3161,LTSTUDENT3161,03,Male,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3162,Name3162,MiddleName3162,,LTSTUDENT3162,LTSTUDENT3162,03,Female,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3163,Name3163,MiddleName3163,,LTSTUDENT3163,LTSTUDENT3163,03,Female,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3164,Name3164,MiddleName3164,,LTSTUDENT3164,LTSTUDENT3164,03,Male,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3165,Name3165,MiddleName3165,,LTSTUDENT3165,LTSTUDENT3165,03,Female,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3166,Name3166,MiddleName3166,,LTSTUDENT3166,LTSTUDENT3166,03,Female,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3167,Name3167,MiddleName3167,,LTSTUDENT3167,LTSTUDENT3167,03,Male,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3168,Name3168,MiddleName3168,,LTSTUDENT3168,LTSTUDENT3168,03,Female,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3169,Name3169,MiddleName3169,,LTSTUDENT3169,LTSTUDENT3169,03,Male,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3170,Name3170,MiddleName3170,,LTSTUDENT3170,LTSTUDENT3170,03,Male,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3171,Name3171,MiddleName3171,,LTSTUDENT3171,LTSTUDENT3171,03,Female,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3172,Name3172,MiddleName3172,,LTSTUDENT3172,LTSTUDENT3172,03,Male,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3173,Name3173,MiddleName3173,,LTSTUDENT3173,LTSTUDENT3173,03,Female,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3174,Name3174,MiddleName3174,,LTSTUDENT3174,LTSTUDENT3174,03,Male,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3175,Name3175,MiddleName3175,,LTSTUDENT3175,LTSTUDENT3175,03,Female,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3176,Name3176,MiddleName3176,,LTSTUDENT3176,LTSTUDENT3176,03,Female,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3177,Name3177,MiddleName3177,,LTSTUDENT3177,LTSTUDENT3177,03,Male,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3178,Name3178,MiddleName3178,,LTSTUDENT3178,LTSTUDENT3178,03,Male,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3179,Name3179,MiddleName3179,,LTSTUDENT3179,LTSTUDENT3179,03,Male,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3180,Name3180,MiddleName3180,,LTSTUDENT3180,LTSTUDENT3180,03,Female,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3181,Name3181,MiddleName3181,,LTSTUDENT3181,LTSTUDENT3181,03,Female,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3182,Name3182,MiddleName3182,,LTSTUDENT3182,LTSTUDENT3182,03,Female,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3183,Name3183,MiddleName3183,,LTSTUDENT3183,LTSTUDENT3183,03,Female,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3184,Name3184,MiddleName3184,,LTSTUDENT3184,LTSTUDENT3184,03,Female,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3185,Name3185,MiddleName3185,,LTSTUDENT3185,LTSTUDENT3185,03,Female,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3186,Name3186,MiddleName3186,,LTSTUDENT3186,LTSTUDENT3186,03,Female,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3187,Name3187,MiddleName3187,,LTSTUDENT3187,LTSTUDENT3187,03,Female,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3188,Name3188,MiddleName3188,,LTSTUDENT3188,LTSTUDENT3188,03,Female,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3189,Name3189,MiddleName3189,,LTSTUDENT3189,LTSTUDENT3189,03,Female,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3190,Name3190,MiddleName3190,,LTSTUDENT3190,LTSTUDENT3190,03,Female,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3191,Name3191,MiddleName3191,,LTSTUDENT3191,LTSTUDENT3191,03,Female,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3192,Name3192,MiddleName3192,,LTSTUDENT3192,LTSTUDENT3192,03,Female,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3193,Name3193,MiddleName3193,,LTSTUDENT3193,LTSTUDENT3193,03,Male,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3194,Name3194,MiddleName3194,,LTSTUDENT3194,LTSTUDENT3194,03,Male,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3195,Name3195,MiddleName3195,,LTSTUDENT3195,LTSTUDENT3195,03,Female,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3196,Name3196,MiddleName3196,,LTSTUDENT3196,LTSTUDENT3196,03,Female,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3197,Name3197,MiddleName3197,,LTSTUDENT3197,LTSTUDENT3197,03,Female,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3198,Name3198,MiddleName3198,,LTSTUDENT3198,LTSTUDENT3198,03,Male,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3199,Name3199,MiddleName3199,,LTSTUDENT3199,LTSTUDENT3199,03,Female,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3200,Name3200,MiddleName3200,,LTSTUDENT3200,LTSTUDENT3200,03,Male,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3201,Name3201,MiddleName3201,,LTSTUDENT3201,LTSTUDENT3201,03,Male,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3202,Name3202,MiddleName3202,,LTSTUDENT3202,LTSTUDENT3202,03,Female,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3203,Name3203,MiddleName3203,,LTSTUDENT3203,LTSTUDENT3203,03,Male,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3204,Name3204,MiddleName3204,,LTSTUDENT3204,LTSTUDENT3204,03,Female,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3205,Name3205,MiddleName3205,,LTSTUDENT3205,LTSTUDENT3205,03,Female,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3206,Name3206,MiddleName3206,,LTSTUDENT3206,LTSTUDENT3206,03,Male,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3207,Name3207,MiddleName3207,,LTSTUDENT3207,LTSTUDENT3207,03,Male,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3208,Name3208,MiddleName3208,,LTSTUDENT3208,LTSTUDENT3208,03,Female,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3209,Name3209,MiddleName3209,,LTSTUDENT3209,LTSTUDENT3209,03,Female,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3210,Name3210,MiddleName3210,,LTSTUDENT3210,LTSTUDENT3210,03,Female,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3211,Name3211,MiddleName3211,,LTSTUDENT3211,LTSTUDENT3211,03,Male,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3212,Name3212,MiddleName3212,,LTSTUDENT3212,LTSTUDENT3212,03,Male,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3213,Name3213,MiddleName3213,,LTSTUDENT3213,LTSTUDENT3213,03,Female,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3214,Name3214,MiddleName3214,,LTSTUDENT3214,LTSTUDENT3214,03,Male,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3215,Name3215,MiddleName3215,,LTSTUDENT3215,LTSTUDENT3215,03,Male,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3216,Name3216,MiddleName3216,,LTSTUDENT3216,LTSTUDENT3216,03,Male,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3217,Name3217,MiddleName3217,,LTSTUDENT3217,LTSTUDENT3217,03,Male,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3218,Name3218,MiddleName3218,,LTSTUDENT3218,LTSTUDENT3218,03,Female,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3219,Name3219,MiddleName3219,,LTSTUDENT3219,LTSTUDENT3219,03,Male,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3220,Name3220,MiddleName3220,,LTSTUDENT3220,LTSTUDENT3220,03,Female,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3221,Name3221,MiddleName3221,,LTSTUDENT3221,LTSTUDENT3221,03,Female,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3222,Name3222,MiddleName3222,,LTSTUDENT3222,LTSTUDENT3222,03,Female,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3223,Name3223,MiddleName3223,,LTSTUDENT3223,LTSTUDENT3223,03,Male,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3224,Name3224,MiddleName3224,,LTSTUDENT3224,LTSTUDENT3224,03,Male,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3225,Name3225,MiddleName3225,,LTSTUDENT3225,LTSTUDENT3225,03,Male,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3226,Name3226,MiddleName3226,,LTSTUDENT3226,LTSTUDENT3226,03,Female,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3227,Name3227,MiddleName3227,,LTSTUDENT3227,LTSTUDENT3227,03,Female,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3228,Name3228,MiddleName3228,,LTSTUDENT3228,LTSTUDENT3228,03,Female,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3229,Name3229,MiddleName3229,,LTSTUDENT3229,LTSTUDENT3229,03,Male,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName3230,Name3230,MiddleName3230,,LTSTUDENT3230,LTSTUDENT3230,03,Male,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,NO,,,,,,
